OBJECTID,ZIPCODE,Zip_code,PAdHrtDis,PAdHrtDis2,NAdHrtDis,Pop_18olde
1,90001,90001,0.046,4.6,1922.8,41800
2,90002,90002,0.046,4.6,1743.4,37900
3,90003,90003,0.048,4.8,1963.2,40900
4,90004,90004,0.057,5.7,2741.7,48100
5,90005,90005,0.056,5.6,1769.6,31600
6,90006,90006,0.069,6.9,2649.6,38400
7,90007,90007,0.05,5,1555,31100
8,90008,90008,0.063,6.3,1682.1,26700
9,90011,90011,0.05,5,3525,70500
10,90012,90012,0.051,5.1,846.6,16600
11,90013,90013,0,0,0,0
12,90014,90014,0,0,0,0
13,90015,90015,0.058,5.8,980.2,16900
14,90016,90016,0.052,5.2,1965.6,37800
15,90017,90017,0.052,5.2,1144,22000
16,90018,90018,0.056,5.6,2111.2,37700
17,90019,90019,0.061,6.1,2934.1,48100
18,90020,90020,0.048,4.8,1329.6,27700
19,90021,90021,0,0,0,0
20,90023,90023,0.056,5.6,1808.8,32300
21,90024,90024,0.055,5.5,1919.5,34900
22,90025,90025,0.057,5.7,2120.4,37200
23,90026,90026,0.057,5.7,3197.7,56100
24,90027,90027,0.059,5.9,2106.3,35700
25,90028,90028,0.053,5.3,1393.9,26300
26,90029,90029,0.065,6.5,1969.5,30300
27,90031,90031,0.062,6.2,1816.6,29300
28,90032,90032,0.054,5.4,1798.2,33300
29,90033,90033,0.065,6.5,2112.5,32500
30,90034,90034,0.046,4.6,2313.8,50300
31,90035,90035,0.066,6.6,1478.4,22400
32,90036,90036,0.049,4.9,1494.5,30500
33,90037,90037,0.054,5.4,2457,45500
34,90038,90038,0.056,5.6,1276.8,22800
35,90039,90039,0.061,6.1,1390.8,22800
36,90041,90041,0.062,6.2,1271,20500
37,90042,90042,0.055,5.5,2579.5,46900
38,90043,90043,0.061,6.1,2202.1,36100
39,90044,90044,0.054,5.4,3742.2,69300
40,90045,90045,0.058,5.8,1682,29000
41,90046,90046,0.058,5.8,2505.6,43200
42,90047,90047,0.062,6.2,2436.6,39300
43,90048,90048,0.07,7,1393,19900
44,90049,90049,0.082,8.2,2443.6,29800
45,90056,90056,0,0,0,0
46,90057,90057,0.057,5.7,1841.1,32300
47,90058,90058,0,0,0,0
48,90059,90059,0.048,4.8,1248,26000
49,90061,90061,0.052,5.2,988,19000
50,90062,90062,0.057,5.7,1425,25000
51,90063,90063,0.054,5.4,2106,39000
52,90064,90064,0.07,7,1666,23800
53,90065,90065,0.059,5.9,2147.6,36400
54,90066,90066,0.062,6.2,2845.8,45900
55,90067,90067,0,0,0,0
56,90068,90068,0.061,6.1,1305.4,21400
57,90069,90069,0.064,6.4,1267.2,19800
58,90071,90071,0,0,0,0
59,90073,90073,0,0,0,0
60,90077,90077,0,0,0,0
61,90089,90089,0,0,0,0
62,90094,90094,0,0,0,0
63,90095,90095,0,0,0,0
64,90210,90210,0.089,8.9,1637.6,18400
65,90211,90211,0,0,0,0
66,90212,90212,0,0,0,0
67,90230,90230,0.064,6.4,1593.6,24900
68,90232,90232,0,0,0,0
69,90245,90245,0,0,0,0
70,90247,90247,0.057,5.7,2023.5,35500
71,90248,90248,0,0,0,0
72,90250,90250,0.053,5.3,3953.8,74600
73,90265,90265,0.08,8,1352,16900
74,90272,90272,0.095,9.5,1843,19400
75,90275,90275,0.086,8.6,3182,37000
76,90290,90290,0,0,0,0
77,90291,90291,0.058,5.8,1426.8,24600
78,90292,90292,0.078,7.8,1630.2,20900
79,90293,90293,0,0,0,0
80,90302,90302,0.053,5.3,1224.3,23100
81,90304,90304,0.05,5,945,18900
82,90305,90305,0,0,0,0
83,90402,90402,0,0,0,0
84,90403,90403,0.083,8.3,1784.5,21500
85,90404,90404,0.06,6,1134,18900
86,90405,90405,0.069,6.9,1649.1,23900
87,90501,90501,0.064,6.4,2144,33500
88,90502,90502,0.071,7.1,1079.2,15200
89,90504,90504,0.072,7.2,2023.2,28100
90,90710,90710,0.067,6.7,1487.4,22200
91,90717,90717,0.073,7.3,1189.9,16300
92,90731,90731,0.064,6.4,2803.2,43800
93,90732,90732,0.088,8.8,1768.8,20100
94,90744,90744,0.055,5.5,2095.5,38100
95,90745,90745,0.067,6.7,2867.6,42800
96,90802,90802,0.049,4.9,1680.7,34300
97,90810,90810,0.06,6,1872,31200
98,90813,90813,0.058,5.8,2291,39500
99,90822,90822,0,0,0,0
100,91030,91030,0.057,5.7,1134.3,19900
101,91040,91040,0.066,6.6,1174.8,17800
102,91042,91042,0.062,6.2,1407.4,22700
103,91105,91105,0,0,0,0
104,91201,91201,0.065,6.5,1254.5,19300
105,91204,91204,0,0,0,0
106,91205,91205,0.061,6.1,1945.9,31900
107,91206,91206,0.065,6.5,1930.5,29700
108,91208,91208,0,0,0,0
109,91214,91214,0.06,6,1548,25800
110,91302,91302,0.068,6.8,1400.8,20600
111,91303,91303,0.046,4.6,1048.8,22800
112,91304,91304,0.055,5.5,2106.5,38300
113,91306,91306,0.054,5.4,1857.6,34400
114,91307,91307,0.067,6.7,1252.9,18700
115,91311,91311,0.06,6,1938,32300
116,91316,91316,0.065,6.5,1423.5,21900
117,91321,91321,0.056,5.6,1484,26500
118,91324,91324,0.05,5,1235,24700
119,91325,91325,0.051,5.1,1264.8,24800
120,91326,91326,0.058,5.8,1624,28000
121,91330,91330,0,0,0,0
122,91331,91331,0.047,4.7,3515.6,74800
123,91335,91335,0.054,5.4,3207.6,59400
124,91340,91340,0.048,4.8,1339.2,27900
125,91342,91342,0.05,5,3255,65100
126,91343,91343,0.054,5.4,2511,46500
127,91344,91344,0.06,6,2580,43000
128,91345,91345,0,0,0,0
129,91352,91352,0.05,5,1945,38900
130,91356,91356,0.071,7.1,1732.4,24400
131,91364,91364,0.068,6.8,1421.2,20900
132,91367,91367,0.061,6.1,2013,33000
133,91401,91401,0.055,5.5,1826,33200
134,91402,91402,0.048,4.8,2476.8,51600
135,91403,91403,0.055,5.5,946,17200
136,91405,91405,0.048,4.8,1761.6,36700
137,91406,91406,0.05,5,2215,44300
138,91411,91411,0.05,5,1030,20600
139,91423,91423,0.055,5.5,1397,25400
140,91436,91436,0.084,8.4,1285.2,15300
141,91501,91501,0.056,5.6,1036,18500
142,91504,91504,0.055,5.5,1138.5,20700
143,91505,91505,0.055,5.5,1391.5,25300
144,91506,91506,0.065,6.5,1027,15800
145,91522,91522,0,0,0,0
146,91601,91601,0.041,4.1,1307.9,31900
147,91602,91602,0.048,4.8,792,16500
148,91604,91604,0.056,5.6,1388.8,24800
149,91605,91605,0.05,5,2090,41800
150,91606,91606,0.051,5.1,1754.4,34400
151,91607,91607,0.052,5.2,1284.4,24700
152,91608,91608,0,0,0,0
153,91754,91754,0.065,6.5,1722.5,26500
154,91801,91801,0.054,5.4,2322,43000
155,91803,91803,0.06,6,1446,24100
